FromBus,ToBus,CircuitID,R,X,B,RateA,RateB,RateC,Tap,Shift,Status,Other1,Other2
11001,11005,1 ,2.15208E-4,1.12561E-3,0.00000E0,0.00,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11001,11006,1 ,2.16934E-4,1.00752E-3,0.00000E0,0.00,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11002,11454,1 ,5.01137E-2,1.10710E-1,1.57306E-2,52.48,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
19072,11002,1 ,7.18232E-2,1.57580E-1,6.17195E-3,53.14,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11006,11039,1 ,1.04028E-2,5.61671E-2,2.51319E-2,218.70,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11007,11008,1 ,2.23337E-4,1.11783E-3,0.00000E0,0.00,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11007,11334,1 ,5.61156E-2,1.24373E-1,5.99611E-3,56.31,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
19212,11007,1 ,4.24892E-2,9.93257E-2,5.51804E-3,61.22,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11009,11010,1 ,2.72992E-4,1.16843E-3,0.00000E0,0.00,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11010,11305,1 ,5.94151E-2,1.74267E-1,7.33765E-3,45.27,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11010,11334,1 ,3.77454E-2,1.08973E-1,4.26108E-3,58.71,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11011,11012,1 ,2.31181E-4,1.09195E-3,0.00000E0,0.00,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11011,11013,1 ,2.04739E-4,1.19312E-3,0.00000E0,0.00,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11011,11014,1 ,2.53173E-4,1.14329E-3,0.00000E0,0.00,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11011,11015,1 ,2.49078E-4,1.16444E-3,0.00000E0,0.00,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11013,11021,1 ,1.38919E-2,3.79401E-2,1.50986E-3,47.34,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11013,11054,1 ,2.82784E-2,7.35291E-2,7.26861E-3,70.32,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
33230,11013,1 ,6.31322E-2,1.65346E-1,3.69140E-3,53.61,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11016,11018,1 ,2.60033E-4,1.19933E-3,0.00000E0,0.00,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11053,11016,1 ,4.37409E-3,2.71246E-2,1.13255E-2,214.87,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11016,11175,1 ,6.98553E-3,5.27363E-2,2.78855E-2,260.12,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
11017,11025,1 ,1.45637E-2,3.50687E-2,3.53619E-3,72.84,0.00,0.00,0.00000,0.00000,0.00000,0.00000,1
