BusNum,Name,BaseKV,Type,Area,Zone,Owner,Vm,Va,Vmax,Vmin,Other1,Other2
11001,NEWBERRY 1  ,138.0000,1,11,1,1,1.01003194,-10.509790,1.10000,0.90000,1.10000,0.90000
11002,NEWBERRY 2  ,69.0000,1,11,1,1,1.02160823,-10.930820,1.10000,0.90000,1.10000,0.90000
11003,NEWBERRY 3  ,18.0000,1,11,1,1,1.03104162,-11.265503,1.10000,0.90000,1.10000,0.90000
11005,NEWBERRY 5  ,138.0000,1,11,1,1,1.00977838,-10.541924,1.10000,0.90000,1.10000,0.90000
11006,NEWBERRY 7  ,138.0000,1,11,1,1,1.01020253,-10.477534,1.10000,0.90000,1.10000,0.90000
11007,POMARIA 1   ,69.0000,1,11,1,1,1.04204226,-12.240239,1.10000,0.90000,1.10000,0.90000
11008,POMARIA 2   ,69.0000,1,11,1,1,1.04201376,-12.243543,1.10000,0.90000,1.10000,0.90000
11009,WHITMIRE 1  ,69.0000,1,11,1,1,1.03268898,-13.076810,1.10000,0.90000,1.10000,0.90000
11010,WHITMIRE 2  ,69.0000,1,11,1,1,1.03275275,-13.069502,1.10000,0.90000,1.10000,0.90000
11011,SPARTANBUR~1,69.0000,1,11,1,1,1.03934622,-14.211863,1.10000,0.90000,1.10000,0.90000
11012,SPARTANBUR~2,69.0000,1,11,1,1,1.03919947,-14.235278,1.10000,0.90000,1.10000,0.90000
11013,SPARTANBUR~3,69.0000,1,11,1,1,1.03901637,-14.181684,1.10000,0.90000,1.10000,0.90000
11014,SPARTANBUR~4,69.0000,1,11,1,1,1.03934622,-14.211863,1.10000,0.90000,1.10000,0.90000
11015,SPARTANBUR~5,69.0000,1,11,1,1,1.03934622,-14.211863,1.10000,0.90000,1.10000,0.90000
11016,SPARTANBUR~6,138.0000,1,11,1,1,1.01025188,-9.645662,1.10000,0.90000,1.10000,0.90000
11017,SPARTANBUR~7,69.0000,1,11,1,1,1.03681552,-12.610327,1.10000,0.90000,1.10000,0.90000
11018,SPARTANBUR~8,138.0000,1,11,1,1,1.01001787,-9.671422,1.10000,0.90000,1.10000,0.90000
11019,SPARTANBUR~9,138.0000,1,11,1,1,1.02006233,-9.658117,1.10000,0.90000,1.10000,0.90000
11020,SPARTANBU~10,138.0000,1,11,1,1,1.01958525,-9.682113,1.10000,0.90000,1.10000,0.90000
11021,SPARTANBU~11,69.0000,1,11,1,1,1.04086149,-14.279223,1.10000,0.90000,1.10000,0.90000
11022,SPARTANBU~12,69.0000,1,11,1,1,1.04062665,-14.296565,1.10000,0.90000,1.10000,0.90000
11023,SPARTANBU~13,69.0000,1,11,1,1,1.02593803,-13.181377,1.10000,0.90000,1.10000,0.90000
11024,SPARTANBU~14,69.0000,1,11,1,1,1.03283179,-13.473465,1.10000,0.90000,1.10000,0.90000
11025,SPARTANBU~15,69.0000,1,11,1,1,1.03299069,-13.448342,1.10000,0.90000,1.10000,0.90000
11026,SPARTANBU~16,69.0000,1,11,1,1,1.03265810,-13.499629,1.10000,0.90000,1.10000,0.90000
11027,SPARTANBU~17,138.0000,1,11,1,1,1.02101362,-9.472908,1.10000,0.90000,1.10000,0.90000
11028,SPARTANBU~18,69.0000,1,11,1,1,1.04196358,-13.651766,1.10000,0.90000,1.10000,0.90000
11029,SPARTANBU~19,138.0000,1,11,1,1,1.02078128,-9.500826,1.10000,0.90000,1.10000,0.90000
11030,BOILING SP~3,345.0000,1,11,1,1,1.03444910,-7.703470,1.10000,0.90000,1.10000,0.90000
11031,BOILING SP~4,138.0000,1,11,1,1,1.02621460,-9.692391,1.10000,0.90000,1.10000,0.90000
11032,BOILING SP~5,24.0000,1,11,1,1,1.02093685,-11.180889,1.10000,0.90000,1.10000,0.90000
11034,BOILING SP~7,345.0000,1,11,1,1,1.03511715,-7.623150,1.10000,0.90000,1.10000,0.90000
11035,BOILING SP~8,345.0000,1,11,1,1,1.03444910,-7.703470,1.10000,0.90000,1.10000,0.90000
