BusNum,ID,Pg,Qg,Qmin,Qmax,Vset,Status,Pmax,Pmin,Other1,Other2,Other3,Other4,Other5,Other6,Other7,Other8,Other9,Other10,Other11,Other12,Other13,Other14,Other15,Other16,Other17
11294,1 ,1.599,0.814,0.814,-0.178,1.03038,11293,1.920,0.00000,0.17440,0.00000,0.00000,1.00000,1,100.0,1.600,0.604,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11297,1 ,2.900,0.000,1.351,-0.354,1.04000,0,3.480,0.00000,0.14830,0.00000,0.00000,1.00000,0,100.0,2.900,1.251,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11299,1 ,1.024,0.522,0.522,-0.114,1.04000,0,1.230,0.00000,0.12630,0.00000,0.00000,1.00000,1,100.0,1.025,0.194,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11299,2 ,1.024,0.522,0.522,-0.114,1.04000,0,1.230,0.00000,0.12630,0.00000,0.00000,1.00000,1,100.0,1.025,0.178,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11299,3 ,1.024,0.522,0.522,-0.114,1.04000,0,1.230,0.00000,0.12630,0.00000,0.00000,1.00000,1,100.0,1.025,0.304,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11299,4 ,1.024,0.522,0.522,-0.114,1.04000,0,1.230,0.00000,0.12630,0.00000,0.00000,1.00000,1,100.0,1.025,0.413,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11299,5 ,1.099,0.560,0.560,-0.122,1.04000,0,1.320,0.00000,0.14300,0.00000,0.00000,1.00000,1,100.0,1.100,0.543,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11299,6 ,1.099,0.560,0.560,-0.122,1.04000,0,1.320,0.00000,0.14300,0.00000,0.00000,1.00000,1,100.0,1.100,0.291,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11299,7 ,1.099,0.560,0.560,-0.122,1.04000,0,1.320,0.00000,0.14300,0.00000,0.00000,1.00000,1,100.0,1.100,0.301,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11302,1 ,1.112,0.000,0.499,-0.064,1.03600,11301,1.560,0.00000,0.21010,0.00000,0.00000,1.00000,0,100.0,1.300,0.580,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11303,1 ,1.299,-0.064,0.499,-0.064,1.02222,11301,1.560,0.00000,0.21010,0.00000,0.00000,1.00000,1,100.0,1.300,0.421,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11303,2 ,1.299,-0.064,0.499,-0.064,1.02222,11301,1.560,0.00000,0.21010,0.00000,0.00000,1.00000,1,100.0,1.300,0.232,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11304,1 ,1.299,-0.064,0.499,-0.064,1.02222,11301,1.560,0.00000,0.21010,0.00000,0.00000,1.00000,1,100.0,1.300,0.419,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11309,1 ,0.583,0.000,0.839,-0.220,1.01400,11308,2.160,0.00000,0.22440,0.00000,0.00000,1.00000,0,100.0,1.800,0.583,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11309,2 ,1.800,0.000,0.839,-0.220,1.01400,11308,2.160,0.00000,0.22440,0.00000,0.00000,1.00000,0,100.0,1.800,0.559,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11310,1 ,0.654,0.000,0.839,-0.220,1.01400,11308,2.160,0.00000,0.22440,0.00000,0.00000,1.00000,0,100.0,1.800,0.654,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11311,1 ,1.800,0.000,0.839,-0.220,1.01400,11308,2.160,0.00000,0.22440,0.00000,0.00000,1.00000,0,100.0,1.800,0.584,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
11315,1 ,50.564,25.755,25.755,-5.617,1.06169,11313,60.720,0.00000,0.20140,0.00000,0.00000,1.00000,1,100.0,50.600,16.869,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
