BusNum,ID,Status,Area,Zone,Pd,Qd,Other1,Other2,Other3,Other4,Other5,Other6,Other7,Other8
11005,1 ,1,11,1,53.219,12.560,0.000,0.000,0.000,0.000,1,1,,
11008,1 ,1,11,1,5.894,1.472,0.000,0.000,0.000,0.000,1,1,,
11009,1 ,1,11,1,8.780,1.783,0.000,0.000,0.000,0.000,1,1,,
11009,2 ,1,11,1,3.507,0.984,0.000,0.000,0.000,0.000,1,1,,
11012,1 ,1,11,1,41.515,5.163,0.000,0.000,0.000,0.000,1,1,,
11018,1 ,1,11,1,40.366,10.870,0.000,0.000,0.000,0.000,1,1,,
11018,2 ,1,11,1,0.247,0.021,0.000,0.000,0.000,0.000,1,1,,
11020,1 ,1,11,1,43.085,31.769,0.000,0.000,0.000,0.000,1,1,,
11022,1 ,1,11,1,32.575,13.351,0.000,0.000,0.000,0.000,1,1,,
11023,1 ,1,11,1,32.575,11.047,0.000,0.000,0.000,0.000,1,1,,
11026,1 ,1,11,1,41.239,6.498,0.000,0.000,0.000,0.000,1,1,,
11026,2 ,1,11,1,1.378,0.300,0.000,0.000,0.000,0.000,1,1,,
11029,1 ,1,11,1,50.014,8.356,0.000,0.000,0.000,0.000,1,1,,
11031,1 ,1,11,1,57.931,8.417,0.000,0.000,0.000,0.000,1,1,,
11031,2 ,1,11,1,0.798,0.133,0.000,0.000,0.000,0.000,1,1,,
11036,1 ,1,11,1,22.831,4.497,0.000,0.000,0.000,0.000,1,1,,
11038,1 ,1,11,1,37.560,16.053,0.000,0.000,0.000,0.000,1,1,,
11039,1 ,1,11,1,48.464,5.174,0.000,0.000,0.000,0.000,1,1,,
11040,1 ,1,11,1,23.049,5.369,0.000,0.000,0.000,0.000,1,1,,
11042,1 ,1,11,1,29.461,2.648,0.000,0.000,0.000,0.000,1,1,,
11043,1 ,1,11,1,0.369,0.076,0.000,0.000,0.000,0.000,1,1,,
11045,1 ,1,11,1,14.700,3.136,0.000,0.000,0.000,0.000,1,1,,
11048,1 ,1,11,1,58.776,13.098,0.000,0.000,0.000,0.000,1,1,,
11051,1 ,1,11,1,50.258,13.622,0.000,0.000,0.000,0.000,1,1,,
11052,1 ,1,11,1,39.168,5.661,0.000,0.000,0.000,0.000,1,1,,
11052,2 ,1,11,1,0.221,0.051,0.000,0.000,0.000,0.000,1,1,,
11055,1 ,1,11,1,39.168,19.429,0.000,0.000,0.000,0.000,1,1,,
11056,1 ,1,11,1,10.852,1.443,0.000,0.000,0.000,0.000,1,1,,
11058,1 ,1,11,1,20.992,2.309,0.000,0.000,0.000,0.000,1,1,,
11064,1 ,1,11,1,54.540,14.885,0.000,0.000,0.000,0.000,1,1,,
11067,1 ,1,11,1,26.380,11.126,0.000,0.000,0.000,0.000,1,1,,
11068,1 ,1,11,1,33.914,10.097,0.000,0.000,0.000,0.000,1,1,,
11071,1 ,1,11,1,11.718,3.732,0.000,0.000,0.000,0.000,1,1,,
11072,1 ,1,11,1,17.963,1.609,0.000,0.000,0.000,0.000,1,1,,
11075,1 ,1,11,1,49.884,19.774,0.000,0.000,0.000,0.000,1,1,,
11075,2 ,1,11,1,6.750,0.570,0.000,0.000,0.000,0.000,1,1,,
11077,1 ,1,11,1,18.775,2.835,0.000,0.000,0.000,0.000,1,1,,
11080,1 ,1,11,1,37.622,10.567,0.000,0.000,0.000,0.000,1,1,,
11080,2 ,1,11,1,9.188,2.029,0.000,0.000,0.000,0.000,1,1,,
11083,1 ,1,11,1,27.430,4.416,0.000,0.000,0.000,0.000,1,1,,
11084,1 ,1,11,1,44.738,17.525,0.000,0.000,0.000,0.000,1,1,,
11086,1 ,1,11,1,44.738,17.314,0.000,0.000,0.000,0.000,1,1,,
