FromBus,ToBus,CircuitID,R,X,B,RateA,RateB,RateC,Tap,Shift,Status,Other1,Other2
110001,110041,1 ,1.60800E-2,8.81000E-2,5.44800E-2,227.90,227.90,227.90,0.00000,0.00000,0.00000,0.00000,1
110001,110113,1 ,1.48000E-3,8.96000E-3,1.11900E-2,307.20,307.20,307.20,0.00000,0.00000,0.00000,0.00000,1
110001,230292,1 ,1.09400E-2,5.10900E-2,7.78300E-2,257.20,257.20,257.20,0.00000,0.00000,0.00000,0.00000,1
110001,270046,1 ,6.16000E-3,4.10500E-2,1.32900E-2,271.40,271.40,271.40,0.00000,0.00000,0.00000,0.00000,1
110005,110065,1 ,2.45000E-3,1.30000E-2,1.18300E-2,307.40,307.40,307.40,0.00000,0.00000,0.00000,0.00000,1
110005,111259,1 ,2.59000E-3,1.84700E-2,2.08500E-2,300.80,300.80,300.80,0.00000,0.00000,0.00000,0.00000,1
110005,111363,1 ,2.79000E-3,1.92100E-2,9.78000E-3,302.20,302.20,302.20,0.00000,0.00000,0.00000,0.00000,1
110005,111411,1 ,4.10000E-3,1.50800E-2,2.06400E-2,293.00,293.00,293.00,0.00000,0.00000,0.00000,0.00000,1
110101,110009,1 ,3.62000E-3,2.73100E-2,3.33900E-2,290.20,290.20,290.20,0.00000,0.00000,0.00000,0.00000,1
110009,110105,1 ,4.57000E-3,2.29300E-2,2.71400E-2,231.60,231.60,231.60,0.00000,0.00000,0.00000,0.00000,1
110009,110121,1 ,6.67000E-3,3.53100E-2,1.49600E-2,295.60,295.60,295.60,0.00000,0.00000,0.00000,0.00000,1
110123,110013,1 ,2.96000E-3,1.83900E-2,1.14200E-2,278.30,278.30,278.30,0.00000,0.00000,0.00000,0.00000,1
110132,110013,1 ,4.07000E-3,2.62600E-2,5.41000E-3,289.90,289.90,289.90,0.00000,0.00000,0.00000,0.00000,1
110017,110137,1 ,3.18000E-3,1.80400E-2,1.17290E-1,243.30,243.30,243.30,0.00000,0.00000,0.00000,0.00000,1
110017,110157,1 ,3.37000E-3,2.34000E-2,1.26200E-2,269.90,269.90,269.90,0.00000,0.00000,0.00000,0.00000,1
110017,111409,1 ,7.55000E-3,3.89000E-2,1.11500E-2,234.60,234.60,234.60,0.00000,0.00000,0.00000,0.00000,1
110021,110053,1 ,4.61000E-3,2.68800E-2,2.13000E-2,242.20,242.20,242.20,0.00000,0.00000,0.00000,0.00000,1
110021,110134,1 ,3.77000E-3,2.27900E-2,6.53000E-3,238.70,238.70,238.70,0.00000,0.00000,0.00000,0.00000,1
110025,110061,1 ,3.02000E-3,1.82900E-2,1.17100E-2,208.10,208.10,208.10,0.00000,0.00000,0.00000,0.00000,1
110134,110025,1 ,2.95000E-3,1.94300E-2,1.01100E-2,219.60,219.60,219.60,0.00000,0.00000,0.00000,0.00000,1
110073,110029,1 ,5.74000E-3,2.77900E-2,2.67700E-2,301.80,301.80,301.80,0.00000,0.00000,0.00000,0.00000,1
110029,111363,1 ,4.10000E-3,1.87200E-2,7.34000E-3,295.90,295.90,295.90,0.00000,0.00000,0.00000,0.00000,1
110121,110033,1 ,6.61000E-3,4.15500E-2,1.91900E-2,296.20,296.20,296.20,0.00000,0.00000,0.00000,0.00000,1
110033,110719,1 ,1.09000E-2,6.87400E-2,1.48000E-1,292.00,292.00,292.00,0.00000,0.00000,0.00000,0.00000,1
110037,110118,1 ,2.52000E-3,1.40300E-2,7.01000E-3,277.10,277.10,277.10,0.00000,0.00000,0.00000,0.00000,1
110124,110037,1 ,3.49000E-3,1.67400E-2,1.38000E-2,278.80,278.80,278.80,0.00000,0.00000,0.00000,0.00000,1
110037,230007,1 ,3.54000E-3,1.47200E-2,9.57900E-2,279.40,279.40,279.40,0.00000,0.00000,0.00000,0.00000,1
110041,110061,1 ,5.23000E-3,3.64100E-2,1.20000E-2,210.50,210.50,210.50,0.00000,0.00000,0.00000,0.00000,1
110053,110045,1 ,4.29000E-3,2.76900E-2,2.25900E-2,286.30,286.30,286.30,0.00000,0.00000,0.00000,0.00000,1
110045,110057,1 ,5.33000E-3,2.83000E-2,4.68500E-2,270.90,270.90,270.90,0.00000,0.00000,0.00000,0.00000,1
110045,110118,1 ,3.84000E-3,1.62300E-2,1.01060E-1,302.30,302.30,302.30,0.00000,0.00000,0.00000,0.00000,1
110045,110118,2 ,3.84000E-3,1.62300E-2,1.01060E-1,302.30,302.30,302.30,0.00000,0.00000,0.00000,0.00000,1
110049,110053,1 ,4.83000E-3,2.83200E-2,1.23600E-2,267.10,267.10,267.10,0.00000,0.00000,0.00000,0.00000,1
110049,110057,1 ,6.75000E-3,3.84700E-2,1.33800E-2,287.30,287.30,287.30,0.00000,0.00000,0.00000,0.00000,1
110049,110077,1 ,1.11900E-2,5.29700E-2,3.38500E-2,270.10,270.10,270.10,0.00000,0.00000,0.00000,0.00000,1
110133,110049,1 ,1.96000E-3,1.00900E-2,1.22000E-3,336.60,336.60,336.60,0.00000,0.00000,0.00000,0.00000,1
110053,160133,1 ,1.73200E-2,8.20300E-2,3.83600E-2,275.30,275.30,275.30,0.00000,0.00000,0.00000,0.00000,1
110132,110065,1 ,6.32000E-3,2.82400E-2,1.61800E-2,271.80,271.80,271.80,0.00000,0.00000,0.00000,0.00000,1
110065,110729,1 ,6.63000E-3,3.00700E-2,5.06500E-2,361.60,361.60,361.60,0.00000,0.00000,0.00000,0.00000,1
110065,110729,2 ,6.63000E-3,3.00700E-2,5.06500E-2,361.60,361.60,361.60,0.00000,0.00000,0.00000,0.00000,1
111363,110065,1 ,3.81000E-3,2.59900E-2,1.25600E-2,331.00,331.00,331.00,0.00000,0.00000,0.00000,0.00000,1
111363,110065,2 ,3.81000E-3,2.59900E-2,1.25600E-2,331.00,331.00,331.00,0.00000,0.00000,0.00000,0.00000,1
110069,110135,1 ,6.61000E-3,4.73100E-2,1.91700E-2,270.90,270.90,270.90,0.00000,0.00000,0.00000,0.00000,1
110069,111411,1 ,3.02000E-3,1.91900E-2,4.32000E-2,266.10,266.10,266.10,0.00000,0.00000,0.00000,0.00000,1
110073,110125,1 ,6.00000E-3,3.25000E-2,2.46700E-2,294.50,294.50,294.50,0.00000,0.00000,0.00000,0.00000,1
110073,110127,1 ,5.51000E-3,2.50100E-2,8.91200E-2,347.60,347.60,347.60,0.00000,0.00000,0.00000,0.00000,1
110073,110127,2 ,5.51000E-3,2.50100E-2,8.91200E-2,347.60,347.60,347.60,0.00000,0.00000,0.00000,0.00000,1
110073,110128,1 ,4.60000E-3,2.50800E-2,1.59900E-2,251.50,251.50,251.50,0.00000,0.00000,0.00000,0.00000,1
110077,110125,1 ,5.34000E-3,4.80700E-2,2.56300E-2,256.60,256.60,256.60,0.00000,0.00000,0.00000,0.00000,1
110093,110081,1 ,3.29000E-3,1.97200E-2,3.62100E-2,271.20,271.20,271.20,0.00000,0.00000,0.00000,0.00000,1
110081,110097,1 ,2.45000E-3,1.41800E-2,5.90000E-3,268.00,268.00,268.00,0.00000,0.00000,0.00000,0.00000,1
110085,110109,1 ,5.67000E-3,2.73600E-2,2.13800E-2,258.30,258.30,258.30,0.00000,0.00000,0.00000,0.00000,1
110085,110135,1 ,5.26000E-3,3.07800E-2,1.46100E-2,261.80,261.80,261.80,0.00000,0.00000,0.00000,0.00000,1
110089,110105,1 ,1.07200E-2,7.48500E-2,2.90600E-2,250.60,250.60,250.60,0.00000,0.00000,0.00000,0.00000,1
110089,110117,1 ,1.88800E-2,8.11100E-2,3.94300E-2,259.50,259.50,259.50,0.00000,0.00000,0.00000,0.00000,1
110136,110089,1 ,4.23000E-3,2.68000E-2,8.85000E-3,280.10,280.10,280.10,0.00000,0.00000,0.00000,0.00000,1
110093,110117,1 ,2.51000E-3,1.38700E-2,1.34350E-1,293.70,293.70,293.70,0.00000,0.00000,0.00000,0.00000,1
110122,110093,1 ,6.25000E-3,3.84700E-2,1.97300E-2,319.40,319.40,319.40,0.00000,0.00000,0.00000,0.00000,1
110093,160128,1 ,1.92500E-2,9.92500E-2,5.99400E-2,294.00,294.00,294.00,0.00000,0.00000,0.00000,0.00000,1
110097,110127,1 ,4.23000E-3,3.29900E-2,1.71200E-2,265.30,265.30,265.30,0.00000,0.00000,0.00000,0.00000,1
110101,160120,1 ,7.90000E-3,3.64700E-2,4.22200E-2,290.90,290.90,290.90,0.00000,0.00000,0.00000,0.00000,1
110568,110109,1 ,2.58000E-3,1.75000E-2,4.60900E-2,258.00,258.00,258.00,0.00000,0.00000,0.00000,0.00000,1
110139,110113,1 ,1.28000E-3,7.39000E-3,1.03600E-2,307.60,307.60,307.60,0.00000,0.00000,0.00000,0.00000,1
110117,110138,1 ,4.04000E-3,2.44800E-2,2.55300E-2,309.60,309.60,309.60,0.00000,0.00000,0.00000,0.00000,1
110130,110118,1 ,4.86000E-3,2.07400E-2,3.12100E-2,316.00,316.00,316.00,0.00000,0.00000,0.00000,0.00000,1
110130,110118,2 ,4.86000E-3,2.07400E-2,3.12100E-2,316.00,316.00,316.00,0.00000,0.00000,0.00000,0.00000,1
110119,110138,1 ,4.35000E-3,2.48200E-2,3.32900E-2,270.60,270.60,270.60,0.00000,0.00000,0.00000,0.00000,1
110119,110725,1 ,1.50200E-2,9.64700E-2,4.63200E-2,270.10,270.10,270.10,0.00000,0.00000,0.00000,0.00000,1
110127,110120,1 ,1.39000E-3,7.37000E-3,6.65000E-3,305.10,305.10,305.10,0.00000,0.00000,0.00000,0.00000,1
