BusNum,Name,BaseKV,Type,Area,Zone,Owner,Vm,Va,Vmax,Vmin,Other1,Other2
This is a synthetic electric grid designed by researchers at Texas A&M University,created for use in the ARPA-E PERFORM,,,,,,,,,,,
program,,,,,,,,,,,,
110001,EDNA 1 1    ,138.0000,1,7,1,1,1.03709257,-4.242394,1.10000,0.90000,1.10000,0.90000
110002,EDNA 1 2    ,13.8000,1,7,1,1,1.03709257,-4.242394,1.10000,0.90000,1.10000,0.90000
110003,EDNA 1 3    ,13.8000,1,7,1,1,1.03709257,-4.242394,1.10000,0.90000,1.10000,0.90000
110004,EDNA 1 4    ,1.0000,1,7,1,1,1.03709257,-4.242394,1.10000,0.90000,1.10000,0.90000
110005,LANE CITY ~1,138.0000,1,7,1,1,1.02185512,-11.384533,1.10000,0.90000,1.10000,0.90000
110006,LANE CITY ~2,13.8000,1,7,1,1,1.02185512,-11.384533,1.10000,0.90000,1.10000,0.90000
110007,LANE CITY ~3,13.8000,1,7,1,1,1.02185512,-11.384533,1.10000,0.90000,1.10000,0.90000
110008,LANE CITY ~4,1.0000,1,7,1,1,1.02185512,-11.384533,1.10000,0.90000,1.10000,0.90000
110009,MATAGORDA ~1,138.0000,1,7,1,1,1.02860105,-3.558826,1.10000,0.90000,1.10000,0.90000
110010,MATAGORDA ~2,13.8000,1,7,1,1,1.02860105,-3.558826,1.10000,0.90000,1.10000,0.90000
110011,MATAGORDA ~3,13.8000,1,7,1,1,1.02860105,-3.558826,1.10000,0.90000,1.10000,0.90000
110012,MATAGORDA ~4,1.0000,1,7,1,1,1.02860105,-3.558826,1.10000,0.90000,1.10000,0.90000
110013,HUNGERFORD~1,138.0000,1,7,1,1,1.01155698,-12.681401,1.10000,0.90000,1.10000,0.90000
110014,HUNGERFORD~2,13.8000,1,7,1,1,1.01155698,-12.681401,1.10000,0.90000,1.10000,0.90000
110015,HUNGERFORD~3,13.8000,1,7,1,1,1.01155698,-12.681401,1.10000,0.90000,1.10000,0.90000
110016,HUNGERFORD~4,1.0000,1,7,1,1,1.01155698,-12.681401,1.10000,0.90000,1.10000,0.90000
110017,EAST BERNA~1,138.0000,1,7,1,1,1.02644324,-16.738405,1.10000,0.90000,1.10000,0.90000
110018,EAST BERNA~2,13.8000,1,7,1,1,1.02644324,-16.738405,1.10000,0.90000,1.10000,0.90000
110019,EAST BERNA~3,13.8000,1,7,1,1,1.02644324,-16.738405,1.10000,0.90000,1.10000,0.90000
110020,EAST BERNA~4,1.0000,1,7,1,1,1.02644324,-16.738405,1.10000,0.90000,1.10000,0.90000
110021,EL CAMPO 1 1,138.0000,1,7,1,1,1.02517498,-6.828780,1.10000,0.90000,1.10000,0.90000
110022,EL CAMPO 1 2,22.0000,1,7,1,1,1.02517498,-6.828780,1.10000,0.90000,1.10000,0.90000
