BusNum,ID,Pg,Qg,Qmin,Qmax,Vset,Status,Pmax,Pmin,Other1,Other2,Other3,Other4,Other5,Other6,Other7,Other8,Other9,Other10,Other11,Other12,Other13,Other14,Other15,Other16,Other17
111180,1 ,643.520,1.541,379.710,-250.067,1.04000,111179,895.200,0.00000,0.37360,0.00000,0.00000,1.00000,1,100.0,746.000,87.520,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111181,1 ,630.210,1.541,381.240,-231.351,1.04000,111179,898.800,0.00000,0.14080,0.00000,0.00000,1.00000,1,100.0,749.000,303.730,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111183,1 ,46.580,21.809,27.490,-15.800,1.04000,0,64.800,0.00000,0.35710,0.00000,0.00000,1.00000,1,100.0,54.000,15.730,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111184,1 ,23.420,27.490,27.490,-18.365,1.04000,0,64.800,0.00000,0.12890,0.00000,0.00000,1.00000,1,100.0,54.000,6.300,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111185,1 ,46.580,22.617,27.490,-16.918,1.04000,0,64.800,0.00000,0.27340,0.00000,0.00000,1.00000,1,100.0,54.000,23.180,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111186,1 ,43.130,21.284,25.450,-14.495,1.04000,0,60.000,0.00000,0.11000,0.00000,0.00000,1.00000,1,100.0,50.000,23.190,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111187,1 ,55.210,28.681,32.580,-17.087,1.04000,0,76.800,0.00000,0.12500,0.00000,0.00000,1.00000,1,100.0,64.000,21.890,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111188,1 ,43.400,17.198,27.490,-18.665,1.04000,0,64.800,0.00000,0.17490,0.00000,0.00000,1.00000,1,100.0,54.000,26.280,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111190,1 ,60.570,5.897,52.940,-32.246,1.04000,0,124.800,0.00000,0.16500,0.00000,0.00000,1.00000,1,100.0,104.000,27.600,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111191,1 ,81.410,8.330,52.940,-33.749,1.04000,0,124.800,0.00000,0.10690,0.00000,0.00000,1.00000,1,100.0,104.000,48.440,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111192,1 ,49.170,10.123,29.010,-16.931,1.04000,0,68.400,0.00000,0.12170,0.00000,0.00000,1.00000,1,100.0,57.000,20.520,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111193,1 ,32.720,6.754,29.010,-15.977,1.04000,0,68.400,0.00000,0.13020,0.00000,0.00000,1.00000,1,100.0,57.000,14.650,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111194,1 ,49.170,8.940,29.010,-16.846,1.04000,0,68.400,0.00000,0.20270,0.00000,0.00000,1.00000,1,100.0,57.000,28.410,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111195,1 ,49.170,5.735,29.010,-16.909,1.04000,0,68.400,0.00000,0.13840,0.00000,0.00000,1.00000,1,100.0,57.000,24.090,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111196,1 ,49.170,7.512,29.010,-15.263,1.04000,0,68.400,0.00000,0.10370,0.00000,0.00000,1.00000,1,100.0,57.000,14.150,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111197,1 ,49.170,5.052,29.010,-18.086,1.04000,0,68.400,0.00000,0.13240,0.00000,0.00000,1.00000,1,100.0,57.000,13.050,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111198,1 ,49.170,5.019,29.010,-17.449,1.04000,0,68.400,0.00000,0.13740,0.00000,0.00000,1.00000,1,100.0,57.000,13.030,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111199,1 ,43.140,4.825,29.010,-18.575,1.04000,0,68.400,0.00000,0.13460,0.00000,0.00000,1.00000,1,100.0,57.000,25.070,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111200,1 ,44.260,7.352,29.520,-15.638,1.04000,0,69.600,0.00000,0.24100,0.00000,0.00000,1.00000,1,100.0,58.000,25.870,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111201,1 ,50.030,4.640,29.520,-14.742,1.04000,0,69.600,0.00000,0.12790,0.00000,0.00000,1.00000,1,100.0,58.000,25.900,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111202,1 ,50.030,5.567,29.520,-16.542,1.04000,0,69.600,0.00000,0.27990,0.00000,0.00000,1.00000,1,100.0,58.000,10.820,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111203,1 ,50.030,8.899,29.520,-15.654,1.04000,0,69.600,0.00000,0.28750,0.00000,0.00000,1.00000,1,100.0,58.000,8.970,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111204,1 ,36.080,7.065,29.520,-16.446,1.04000,0,69.600,0.00000,0.36100,0.00000,0.00000,1.00000,1,100.0,58.000,17.690,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111205,1 ,45.140,7.159,29.520,-19.791,1.04000,0,69.600,0.00000,0.11520,0.00000,0.00000,1.00000,1,100.0,58.000,26.750,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
111206,1 ,0.000,0.000,6.620,-3.797,1.04000,0,15.600,0.00000,0.23440,0.00000,0.00000,1.00000,0,100.0,13.000,3.030,1,1.0000,0,1.0000,0,1.0000,0,1.0000,0
