BusNum,ID,Status,Area,Zone,Pd,Qd,Other1,Other2,Other3,Other4,Other5,Other6,Other7,Other8
110001,1 ,1,7,1,0.218,0.080,0.000,0.000,0.000,0.000,1,1,0,
110005,1 ,1,7,1,11.600,4.160,0.000,0.000,0.000,0.000,1,1,0,
110005,5 ,1,7,1,68.100,34.500,0.000,0.000,0.000,0.000,1,1,0,
110009,1 ,1,7,1,5.900,2.030,0.000,0.000,0.000,0.000,1,1,0,
110013,1 ,1,7,1,15.300,3.540,0.000,0.000,0.000,0.000,1,1,0,
110017,1 ,1,7,1,11.000,2.710,0.000,0.000,0.000,0.000,1,1,0,
110021,1 ,1,7,1,8.300,1.880,0.000,0.000,0.000,0.000,1,1,0,
110025,1 ,1,7,1,7.300,2.110,0.000,0.000,0.000,0.000,1,1,0,
110029,1 ,1,7,1,7.700,2.030,0.000,0.000,0.000,0.000,1,1,0,
110033,1 ,1,7,1,7.500,1.800,0.000,0.000,0.000,0.000,1,1,0,
110037,1 ,1,7,1,4.250,0.680,0.000,0.000,0.000,0.000,1,1,0,
110041,1 ,1,7,1,2.560,0.530,0.000,0.000,0.000,0.000,1,1,0,
110045,1 ,1,7,1,1.730,0.530,0.000,0.000,0.000,0.000,1,1,0,
110049,1 ,1,7,1,3.090,0.301,0.000,0.000,0.000,0.000,1,1,0,
110053,1 ,1,7,1,4.250,0.680,0.000,0.000,0.000,0.000,1,1,0,
110057,1 ,1,7,1,0.610,0.212,0.000,0.000,0.000,0.000,1,1,0,
110061,1 ,1,7,1,1.580,0.380,0.000,0.000,0.000,0.000,1,1,0,
110065,1 ,1,7,1,3.240,1.050,0.000,0.000,0.000,0.000,1,1,0,
110069,1 ,1,7,1,10.400,2.260,0.000,0.000,0.000,0.000,1,1,0,
110073,1 ,1,7,1,5.700,1.130,0.000,0.000,0.000,0.000,1,1,0,
110077,1 ,1,7,1,2.410,0.450,0.000,0.000,0.000,0.000,1,1,0,
110081,1 ,1,7,1,4.700,0.221,0.000,0.000,0.000,0.000,1,1,0,
110085,1 ,1,7,1,4.070,1.050,0.000,0.000,0.000,0.000,1,1,0,
110089,1 ,1,7,1,3.890,0.380,0.000,0.000,0.000,0.000,1,1,0,
110093,1 ,1,7,1,0.580,0.142,0.000,0.000,0.000,0.000,1,1,0,
110096,5 ,1,7,1,115.000,75.200,0.000,0.000,0.000,0.000,1,1,0,
110097,1 ,1,7,1,1.950,0.450,0.000,0.000,0.000,0.000,1,1,0,
110101,1 ,1,7,1,0.990,0.301,0.000,0.000,0.000,0.000,1,1,0,
110105,1 ,1,7,1,4.800,0.301,0.000,0.000,0.000,0.000,1,1,0,
110109,1 ,1,7,1,0.090,0.009,0.000,0.000,0.000,0.000,1,1,0,
110113,1 ,1,7,1,0.660,0.221,0.000,0.000,0.000,0.000,1,1,0,
110117,1 ,1,7,1,4.700,0.750,0.000,0.000,0.000,0.000,1,1,0,
110118,1 ,1,7,1,0.630,0.221,0.000,0.000,0.000,0.000,1,1,0,
110119,1 ,1,7,1,1.950,0.680,0.000,0.000,0.000,0.000,1,1,0,
110120,1 ,1,7,1,2.180,0.600,0.000,0.000,0.000,0.000,1,1,0,
110121,1 ,1,7,1,0.490,0.159,0.000,0.000,0.000,0.000,1,1,0,
110122,1 ,1,7,1,0.920,0.301,0.000,0.000,0.000,0.000,1,1,0,
110123,1 ,1,7,1,2.340,0.450,0.000,0.000,0.000,0.000,1,1,0,
110123,5 ,1,7,1,108.800,78.700,0.000,0.000,0.000,0.000,1,1,0,
110124,1 ,1,7,1,0.460,0.088,0.000,0.000,0.000,0.000,1,1,0,
110125,1 ,1,7,1,26.800,4.330,0.000,0.000,0.000,0.000,1,1,0,
110127,1 ,1,7,1,27.900,5.700,0.000,0.000,0.000,0.000,1,1,0,
110127,5 ,1,7,1,194.600,76.100,0.000,0.000,0.000,0.000,1,1,0,
110128,1 ,1,7,1,41.400,6.700,0.000,0.000,0.000,0.000,1,1,0,
110129,1 ,1,7,1,22.700,2.560,0.000,0.000,0.000,0.000,1,1,0,
110129,2 ,1,7,1,15.000,5.700,0.000,0.000,0.000,0.000,1,1,0,
110130,1 ,1,7,1,10.300,1.130,0.000,0.000,0.000,0.000,1,1,0,
110131,1 ,1,7,1,15.500,2.560,0.000,0.000,0.000,0.000,1,1,0,
110132,1 ,1,7,1,22.700,4.070,0.000,0.000,0.000,0.000,1,1,0,
110132,5 ,1,7,1,77.800,5.300,0.000,0.000,0.000,0.000,1,1,0,
110133,1 ,1,7,1,6.300,1.950,0.000,0.000,0.000,0.000,1,1,0,
110134,1 ,1,7,1,4.600,0.600,0.000,0.000,0.000,0.000,1,1,0,
110135,1 ,1,7,1,21.800,6.700,0.000,0.000,0.000,0.000,1,1,0,
110136,1 ,1,7,1,9.500,3.090,0.000,0.000,0.000,0.000,1,1,0,
110137,1 ,1,7,1,14.200,2.340,0.000,0.000,0.000,0.000,1,1,0,
110138,1 ,1,7,1,14.900,5.300,0.000,0.000,0.000,0.000,1,1,0,
110139,1 ,1,7,1,0.480,0.080,0.000,0.000,0.000,0.000,1,1,0,
